entry_hour;duration_label;total_trades;total_pnl_usd;avg_pnl_usd;win_rate;avg_win;avg_loss;avg_mae;avg_mfe;sharpe_ratio
7;1min;251;-2450,0;-38,94;37,0;68,78;-110,54;-215,61;119,45;-0,28
7;240min (4h);251;182040,0;188,07;60,62;1119,45;-987,2;-1594,75;1642,94;2,84
7;300min (5h);251;233740,0;340,88;58,68;1302,33;-1084,28;-1730,55;1909,6;4,96
7;360min (6h);251;181705,0;86,43;58,09;1115,05;-1353,34;-1977,66;2075,4;-43,8
7;480min (8h);251;297380,0;312,54;57,5;1481,01;-1532,11;-2377,22;2716,45;3,32
7;5min;251;370,0;-81,23;25,32;142,01;-212,6;-351,38;194,97;-1,87
7;60min (1h);251;-600,0;-196,48;39,84;376,93;-508,82;-870,39;594,89;-7,38
7;EOD;251;270955,0;1266,69;53,27;3021,37;-1989,28;-4662,97;5593,14;170,58
8;120min (2h);314;-50790,0;-279,77;37,47;529,99;-1150,15;-1386,42;1048,65;1,65
8;15min;314;-22745,0;-127,3;39,41;273,02;-407,42;-518,64;362,55;-0,4
8;180min (3h);314;-62755,0;-235,84;43,51;596,29;-1101,89;-1601,34;1291,23;-2,04
8;1min;314;650,0;-12,04;44,8;113,47;-111,61;-183,69;131,65;-0,1
8;240min (4h);314;33605,0;64,54;55,67;809,74;-1236,81;-1680,12;1500,3;-0,46
8;300min (5h);314;-163425,0;-315,03;43,5;757,85;-1379,54;-1987,42;1810,76;-0,92
8;360min (6h);314;-282750,0;-626,58;37,59;932,68;-1707,61;-2419,75;1934,19;-0,95
8;480min (8h);314;-273130,0;87,91;42,99;2158,53;-1852,83;-3608,81;3283,53;1,43
8;5min;314;-420,0;-59,62;36,78;199,49;-223,24;-300,77;229,12;-0,35
8;60min (1h);314;-580,0;-194,71;32,65;423,41;-784,81;-941,8;680,8;-0,96
8;EOD;314;-568870,0;1385,34;45,46;4964,93;-3932,61;-5687,0;6111,14;319,33
9;120min (2h);464;-228420,0;-212,4;42,5;664,84;-899,43;-1274,44;923,6;1,26
9;15min;464;-31850,0;-177,09;32,48;220,9;-404,74;-532,12;319,59;-0,81
9;180min (3h);464;-120465,0;-130,56;42,95;698,29;-1047,77;-1415,19;1137,53;-0,76
9;1min;464;-6660,0;-28,14;42,78;113,01;-138,6;-187,31;138,03;-0,17
